true_dept,true_priority,top1_dept,recall_at_1,recall_at_4,mrr,top_ce_score,rag_gap,prio_section,prio_ce_score,prio_correct
Billing and Payments,medium,Billing and Payments,1,1,1.0,0.506310600949658,0.002289172992319899,medium,0.5025829009991302,1
Billing and Payments,low,Billing and Payments,1,1,1.0,0.511639141386934,0.010979383137304288,low,0.7114861388477756,1
Billing and Payments,high,Billing and Payments,1,1,1.0,0.5070898879499437,0.00103591001241643,high,0.5002341423798332,1
Billing and Payments,low,Billing and Payments,1,1,1.0,0.5174209375179185,0.013904941692774453,medium,0.5637508092097314,0
Billing and Payments,medium,Billing and Payments,1,1,1.0,0.5129730616712649,0.006608134695584744,low,0.5007269680034105,0
Billing and Payments,medium,Billing and Payments,1,1,1.0,0.5207540435864084,0.004694095358714567,medium,0.5051890643799375,1
Billing and Payments,medium,Billing and Payments,1,1,1.0,0.6905931434494933,0.1885214973876438,medium,0.5052903727670381,1
Billing and Payments,high,Billing and Payments,1,1,1.0,0.5516459434115858,0.03801557937677913,medium,0.5158192822681646,0
Billing and Payments,low,Billing and Payments,1,1,1.0,0.5015283757948303,0.001216784056284781,low,0.5004796998384102,1
Billing and Payments,high,Billing and Payments,1,1,1.0,0.5072254151021831,0.005619288606283912,high,0.5031270100492464,1
Billing and Payments,high,Billing and Payments,1,1,1.0,0.5066025200206126,0.004233472678335182,high,0.5119025744917488,1
Billing and Payments,medium,Billing and Payments,1,1,1.0,0.5057047653767076,0.0014589859737723643,medium,0.5165013810630544,1
Billing and Payments,medium,Billing and Payments,1,1,1.0,0.6726312654268783,0.1623046898952677,medium,0.5312136890041369,1
Billing and Payments,high,Billing and Payments,1,1,1.0,0.5036835625695183,0.0010796850250607282,medium,0.5023914821618216,0
Billing and Payments,high,Billing and Payments,1,1,1.0,0.5044857587374917,0.00038960405305232815,high,0.503750657392913,1
Billing and Payments,low,Billing and Payments,1,1,1.0,0.5044999439631604,0.0002276056332759513,low,0.5145283327979141,1
Billing and Payments,low,Billing and Payments,1,1,1.0,0.5121000602887674,0.0019617211733213846,low,0.5103843951646101,1
Billing and Payments,low,Billing and Payments,1,1,1.0,0.5074604088024367,0.007191122610373801,low,0.5064702990069881,1
Billing and Payments,low,Billing and Payments,1,1,1.0,0.5037275197447223,0.0017647772792825922,medium,0.5023781119334466,0
Billing and Payments,high,Billing and Payments,1,1,1.0,0.5284347715213823,0.0019354140995885283,high,0.5047382653624759,1
Billing and Payments,medium,Billing and Payments,1,1,1.0,0.5004862804702703,0.00029428172438084044,low,0.5000786072408009,0
Billing and Payments,medium,Billing and Payments,1,1,1.0,0.5027448522321777,0.0012821077817050108,low,0.5025923902235105,0
Billing and Payments,low,Billing and Payments,1,1,1.0,0.5018627474750761,4.822532622528186e-05,low,0.5019241906006966,1
Billing and Payments,high,Billing and Payments,1,1,1.0,0.5031502111743019,0.0013728135089978721,medium,0.5004664718100647,0
Customer Service,medium,Customer Service,1,1,1.0,0.5743384368412632,0.04418762141669941,medium,0.5025798496020486,1
Customer Service,low,General Inquiry,0,0,0.0,0.5069635906335818,0.0051644846988258,low,0.5001620354685321,1
Customer Service,high,Customer Service,1,1,1.0,0.5120781907257161,0.006672173035389917,medium,0.500461265808665,0
Customer Service,low,Customer Service,1,1,1.0,0.5041725654081696,0.0036941446528299116,medium,0.5018042148712348,0
Customer Service,medium,Customer Service,1,1,1.0,0.5005624968281017,0.00040782777114989344,high,0.5006945523971852,0
Customer Service,medium,Customer Service,1,1,1.0,0.5301565185153978,0.016188130654718247,low,0.5007393956615387,0
Customer Service,medium,Sales and Pre-Sales,0,1,0.5,0.5002987599808933,0.00013433599035417298,high,0.5004722224308574,0
Customer Service,high,Technical & IT Support,0,1,0.5,0.5008156558364713,0.00012510002782439855,high,0.5007384365760044,1
Customer Service,low,Customer Service,1,1,1.0,0.5069597878495395,0.002477577631307737,low,0.500600287053099,1
Customer Service,high,Customer Service,1,1,1.0,0.5022555904653744,0.0014953808970483706,high,0.5006283862351089,1
Customer Service,high,Customer Service,1,1,1.0,0.503007616427997,0.0003551913104297144,medium,0.5003128228591976,0
Customer Service,medium,Customer Service,1,1,1.0,0.5128520863065879,0.0038558618721244997,low,0.5015693953875555,0
Customer Service,medium,Customer Service,1,1,1.0,0.5007830946124022,7.975334125509548e-05,high,0.5006517644888913,0
Customer Service,high,Sales and Pre-Sales,0,1,0.3333333333333333,0.5001021628763163,4.5872212193209805e-05,high,0.5000435205255409,1
Customer Service,high,Customer Service,1,1,1.0,0.5086015032114091,0.005289819786826633,high,0.500645677840451,1
Customer Service,low,Customer Service,1,1,1.0,0.5007137887685998,0.00022969821399010382,low,0.501595956092005,1
Customer Service,low,Customer Service,1,1,1.0,0.5030480734595918,0.0007627064315621768,low,0.5364744385637659,1
Customer Service,low,General Inquiry,0,0,0.0,0.5000377633659091,4.488323588680565e-06,low,0.5000589884327374,1
Customer Service,low,Customer Service,1,1,1.0,0.5034453935870209,0.002454121447191704,high,0.5001594677833554,0
Customer Service,high,Customer Service,1,1,1.0,0.5067798702775613,0.0017835091385491886,medium,0.5003800459812988,0
Customer Service,medium,Billing and Payments,0,1,0.5,0.5006172839559248,4.365644044024286e-05,medium,0.5011848404478929,1
Customer Service,medium,Human Resources,0,1,0.3333333333333333,0.5119753744930788,0.009144606699300395,high,0.500011873261426,0
Customer Service,low,Customer Service,1,1,1.0,0.5020574953222621,0.0012088772190110841,low,0.5023914924061356,1
Customer Service,high,Billing and Payments,0,1,0.5,0.503212896657025,0.0022566343715789694,high,0.5005337268531613,1
General Inquiry,medium,Customer Service,0,1,0.3333333333333333,0.5048641490077812,0.004090228948234631,low,0.5063874422277777,0
General Inquiry,low,General Inquiry,1,1,1.0,0.6350308161239996,0.09455124589224084,high,0.5008372034387639,0
General Inquiry,high,General Inquiry,1,1,1.0,0.5017289597081047,0.0010666354364364805,medium,0.5001015937727632,0
General Inquiry,low,General Inquiry,1,1,1.0,0.5005403830079227,0.0001390470055702142,high,0.5034053341610101,0
General Inquiry,medium,General Inquiry,1,1,1.0,0.5004893760962501,5.85281608728172e-05,medium,0.5011185646255911,1
General Inquiry,medium,Sales and Pre-Sales,0,1,0.5,0.5005138138595939,2.009093584331989e-05,high,0.5001205717248288,0
General Inquiry,medium,Sales and Pre-Sales,0,1,0.5,0.5287128956438591,0.024500979035562698,medium,0.5001236792715885,1
General Inquiry,high,General Inquiry,1,1,1.0,0.5079802668577581,0.0014396453452227842,high,0.501336135864246,1
