true_dept,true_priority,pred_dept,dept_conf,pred_priority,priority_conf
Billing and Payments,medium,Billing and Payments,0.9959,medium,0.8144
Billing and Payments,high,Billing and Payments,0.9833,high,0.9893
Billing and Payments,medium,Billing and Payments,0.9943,medium,0.848
Billing and Payments,medium,Billing and Payments,0.9946,medium,0.907
Billing and Payments,high,Billing and Payments,0.9958,high,0.632
Billing and Payments,medium,Billing and Payments,0.997,medium,0.6247
Billing and Payments,medium,Customer Service,0.8861,medium,0.7757
Billing and Payments,high,Billing and Payments,0.9878,high,0.9772
Billing and Payments,medium,Billing and Payments,0.9931,medium,0.8184
Billing and Payments,medium,Billing and Payments,0.9975,medium,0.7184
Billing and Payments,medium,Billing and Payments,0.9947,medium,0.9345
Billing and Payments,medium,Billing and Payments,0.9949,medium,0.7234
Billing and Payments,medium,Billing and Payments,0.9976,medium,0.7398
Billing and Payments,high,Billing and Payments,0.7969,high,0.6961
Billing and Payments,medium,Billing and Payments,0.9964,medium,0.7703
Billing and Payments,medium,Billing and Payments,0.9977,medium,0.6454
Billing and Payments,medium,Billing and Payments,0.9967,medium,0.723
Billing and Payments,medium,Billing and Payments,0.9965,medium,0.9058
Billing and Payments,medium,Billing and Payments,0.9945,medium,0.8898
Billing and Payments,medium,Billing and Payments,0.9793,medium,0.8003
Billing and Payments,medium,Billing and Payments,0.9973,medium,0.7425
Billing and Payments,high,Billing and Payments,0.9908,high,0.942
Billing and Payments,medium,Billing and Payments,0.9975,medium,0.7917
Billing and Payments,medium,Billing and Payments,0.997,medium,0.8142
Billing and Payments,medium,Billing and Payments,0.9934,medium,0.8581
Billing and Payments,high,Billing and Payments,0.4943,high,0.9626
Billing and Payments,medium,Billing and Payments,0.9932,medium,0.5177
Billing and Payments,high,Billing and Payments,0.966,high,0.9908
Billing and Payments,medium,Billing and Payments,0.9968,medium,0.7127
Billing and Payments,medium,Billing and Payments,0.6441,medium,0.9688
Customer Service,medium,Customer Service,0.9519,medium,0.6532
Customer Service,high,Customer Service,0.5531,high,0.9898
Customer Service,medium,Customer Service,0.9257,medium,0.8855
Customer Service,medium,Customer Service,0.9025,medium,0.8403
Customer Service,medium,Customer Service,0.9357,medium,0.7874
Customer Service,medium,Customer Service,0.965,medium,0.8178
Customer Service,medium,Service Outages and Maintenance,0.325,medium,0.7222
Customer Service,high,Technical & IT Support,0.9394,medium,0.8834
Customer Service,medium,Customer Service,0.9848,medium,0.8068
Customer Service,medium,Customer Service,0.6485,medium,0.9486
Customer Service,medium,Technical & IT Support,0.7067,medium,0.8677
Customer Service,high,Customer Service,0.9272,high,0.8729
Customer Service,medium,Customer Service,0.8491,medium,0.8845
Customer Service,medium,Customer Service,0.9687,medium,0.7778
Customer Service,medium,Customer Service,0.9787,medium,0.8196
Customer Service,medium,Sales and Pre-Sales,0.5081,medium,0.9678
Customer Service,medium,Technical & IT Support,0.9388,high,0.5391
Customer Service,medium,Customer Service,0.9847,medium,0.93
Customer Service,high,Returns and Exchanges,0.5679,high,0.972
Customer Service,medium,Customer Service,0.617,medium,0.9125
Customer Service,medium,Customer Service,0.8809,medium,0.8972
Customer Service,medium,Customer Service,0.5913,medium,0.7967
Customer Service,high,Customer Service,0.9782,high,0.6801
Customer Service,medium,Customer Service,0.4975,medium,0.9662
Customer Service,medium,Technical & IT Support,0.4724,medium,0.9304
Customer Service,medium,Human Resources,0.4472,medium,0.9594
Customer Service,medium,Customer Service,0.916,medium,0.7871
Customer Service,medium,Sales and Pre-Sales,0.7304,medium,0.8745
Customer Service,medium,Customer Service,0.9407,medium,0.9106
Customer Service,medium,Returns and Exchanges,0.8321,medium,0.9585
General Inquiry,medium,General Inquiry,0.5309,medium,0.8073
General Inquiry,medium,Service Outages and Maintenance,0.6617,medium,0.925
General Inquiry,medium,General Inquiry,0.8464,medium,0.9157
General Inquiry,medium,Technical & IT Support,0.3076,medium,0.9341
General Inquiry,medium,General Inquiry,0.5923,medium,0.959
General Inquiry,medium,General Inquiry,0.5211,medium,0.9646
General Inquiry,medium,General Inquiry,0.9379,medium,0.9404
General Inquiry,medium,Sales and Pre-Sales,0.6248,medium,0.9725
General Inquiry,medium,Human Resources,0.5212,medium,0.8693
General Inquiry,medium,General Inquiry,0.9865,medium,0.927
General Inquiry,medium,Returns and Exchanges,0.5086,high,0.5101
General Inquiry,high,General Inquiry,0.982,medium,0.8875
General Inquiry,medium,General Inquiry,0.7906,medium,0.8409
General Inquiry,medium,General Inquiry,0.5146,low,0.7166
General Inquiry,medium,General Inquiry,0.9816,medium,0.9408
General Inquiry,medium,General Inquiry,0.818,medium,0.913
General Inquiry,medium,Returns and Exchanges,0.4855,medium,0.9698
General Inquiry,high,General Inquiry,0.861,high,0.9794
General Inquiry,medium,General Inquiry,0.9069,medium,0.9547
General Inquiry,medium,Human Resources,0.5527,medium,0.906
General Inquiry,high,Sales and Pre-Sales,0.565,high,0.9331
General Inquiry,high,General Inquiry,0.6192,high,0.8615
General Inquiry,medium,General Inquiry,0.9641,medium,0.7758
General Inquiry,medium,Sales and Pre-Sales,0.4368,medium,0.9041
General Inquiry,medium,General Inquiry,0.9621,medium,0.9374
General Inquiry,high,Human Resources,0.3301,high,0.9862
General Inquiry,high,General Inquiry,0.3654,high,0.7302
General Inquiry,medium,General Inquiry,0.9181,low,0.5019
General Inquiry,medium,General Inquiry,0.7452,medium,0.8744
General Inquiry,medium,General Inquiry,0.9845,medium,0.8706
Human Resources,medium,Human Resources,0.9939,medium,0.4457
Human Resources,medium,Technical & IT Support,0.8498,medium,0.8768
Human Resources,high,Human Resources,0.9883,high,0.9389
Human Resources,high,Human Resources,0.9915,high,0.657
Human Resources,medium,General Inquiry,0.6685,medium,0.9279
Human Resources,medium,Returns and Exchanges,0.6102,medium,0.9693
Human Resources,medium,Human Resources,0.9116,medium,0.7185
Human Resources,medium,Sales and Pre-Sales,0.9525,medium,0.9288
Human Resources,medium,Human Resources,0.9937,medium,0.6185
Human Resources,medium,Human Resources,0.876,medium,0.9682
